tool_id	to_keep	reason
prokounter	False	Metagenomics in EDAM Topics
strprofiler	False	profiler in bio.tools description
bioconductor-ctsge	False	profiling in BioContainers keywords
phaster	False	plasmids in bio.tools description
bioconductor-sigar	False	profiling in BioContainers keywords
rcgh	False	profiles in bio.tools description
piphillin	False	Metagenomics in EDAM Topics
razor	False	Metagenomics in EDAM Topics
witod	False	Read binning in EDAM Operations
lotus-db	False	OTU in bio.tools description
r-proxy	False	metagenomics in BioContainers keywords
16smicrobiomemlfs	False	microbiome in bio.tools description
bioconductor-agdex	False	profiling in BioContainers keywords
plasgun	False	Metagenomics in EDAM Topics
metamaps	False	Metagenomics in EDAM Topics
plasforest	False	plasmid in bio.tools description
rocket_mir	False	antimicrobial in bio.tools description
hifine	False	Metagenomics in EDAM Topics
spaam	False	Metagenomics in EDAM Topics
qnr	False	metagenomic in bio.tools description
shovill-se	False	metagenome in BioContainers keywords
bioconductor-dotseq	False	profiling in bio.tools description
ribotish	False	profiling in BioContainers description
bioconductor-biocstyle	False	profiling in BioContainers keywords
mirgator_v2.0	False	profiles in bio.tools description
it3se-px	False	profiles in bio.tools description
scifai	False	profiling in bio.tools description
mob_suite	False	Metagenomics in EDAM Topics
metacherchant	False	microbiome in BioContainers keywords
bioconductor-apcomplex	False	profiling in BioContainers keywords
bioconductor-maskbad	False	profiling in BioContainers keywords
bioconductor-flowbeads	False	profiling in BioContainers keywords
binning_refiner	False	Metagenomics in EDAM Topics
cammiq	False	Metagenomics in EDAM Topics
mdm_pred	False	microbiota in bio.tools description
b-amp	False	antimicrobial in bio.tools description
pstrain	False	Metagenomics in EDAM Topics
bioconductor-annotationforge	False	profiling in BioContainers keywords
ymp	False	metagenomics in BioContainers keywords
micca	False	Metagenomics in EDAM Topics
shovill	False	metagenome in BioContainers keywords
metaron	False	Metagenomics in EDAM Topics
bioconductor-chopsticks	False	profiling in BioContainers keywords
bioconductor-mmuphin	False	metagenomics in BioContainers keywords
mpass	False	Metagenomics in EDAM Topics
plasmidhostfinder	False	plasmid in bio.tools description
disco_dsr	False	Metagenomics in EDAM Topics
tango-taxon	False	Metagenomics in EDAM Topics
soapdenovo2	False	Metagenomics in EDAM Topics
metacachespark	False	Metagenomics in EDAM Topics
metameta	False	metagenomics in BioContainers keywords
scite	False	profiles in bio.tools description
hmmstat_genouest	False	profile in bio.tools description
seacr	False	profiling in BioContainers description
magqual	False	Metagenomics in EDAM Topics
metavizr	False	Metagenomics in EDAM Topics
bioconductor-microrna	False	profiling in BioContainers keywords
cascabel	False	Metagenomics in EDAM Topics
trifle	False	profiling in bio.tools description
ampfinder	False	antimicrobial in bio.tools description
selenoprofiles	False	profiles in bio.tools description
mmseqs2	False	Metagenomics in EDAM Topics
id-taxer	False	16S in bio.tools description
varied	False	profiles in bio.tools description
bioconductor-pcpheno	False	profiling in BioContainers keywords
unitem	False	binning in BioContainers description
dbdepc	False	profile in bio.tools description
repeatanalyzer	False	Metagenomics in EDAM Topics
ribo-uorf	False	profiling in bio.tools description
biom-format-tools	False	metagenomics in BioContainers keywords
bioconductor-mops	False	profiling in BioContainers keywords
sequalyzer	False	profiling in bio.tools description
pathostat	False	Metagenomics in EDAM Topics
mitre	False	microbiome in bio.tools description
bioconductor-kimod	False	profiling in BioContainers keywords
effectr	False	Read binning in EDAM Operations
cleanbar	False	Metagenomics in EDAM Topics
seed	False	Metagenomics in EDAM Topics
bioconductor-refnet	False	profiling in BioContainers keywords
frogs_affiliation_otu	False	Metagenomics in EDAM Topics
htseqtools	False	profiles in bio.tools description
bpbaac	False	profile in bio.tools description
raven-assembler	False	metagenome in BioContainers keywords
metapath	False	metapath in bio.tools description
